key,fields.summary,fields.issuetype.name,fields.issuetype.id,fields.status.name,fields.status.id,fields.resolution.name,fields.resolutiondate,fields.created,fields.updated,fields.assignee.name,fields.assignee.displayName,fields.assignee.key,fields.description,created,resolved
BOOKKEEPER-24,Client requests get no response when exception is thrown inside socket loop of NIOServerFactory,Bug,1,Resolved,5,Fixed,2017-10-09 09:56:38,2011-06-02 13:46:26,2017-10-09T09:56:38.000+0000,,,,"In the run method of NIOServerFactory, if an exception is thrown, then we catch it and simply log. If this exception has been generated, for example, while processing an addEntry, then the client receives no response for that request.",2011-06-02 13:46:26,2017-10-09 09:56:38
BOOKKEEPER-26,Indentation is all messed up in the BookKeeper code,Improvement,4,Closed,6,Fixed,2011-09-05 17:39:56,2011-06-17 13:41:32,2011-12-07T15:56:07.000+0000,ikelly,Ivan Kelly,ikelly,The indentation in BK code alternates between 2 space and 4 space. We should fix this now if we're ever going to resolve it as otherwise it'll kill history. We have very little history now so it shouldn't be a problem.,2011-06-17 13:41:32,2011-09-05 17:39:56
BOOKKEEPER-27,mvn site failed with unresolved dependencies,Bug,1,Closed,6,Fixed,2011-07-30 23:59:12,2011-06-29 11:11:34,2011-12-07T15:56:04.000+0000,ikelly,Ivan Kelly,ikelly,"This stops javadoc from being generated.

[INFO]                                                                         
[INFO] ------------------------------------------------------------------------
[INFO] Building hedwig-protocol 3.4.0-SNAPSHOT
[INFO] ------------------------------------------------------------------------
[INFO] 
[INFO] --- maven-site-plugin:2.0.1:site (default-site) @ hedwig-protocol ---
[INFO]                                                                         
[INFO] ------------------------------------------------------------------------
[INFO] Building hedwig-client 3.4.0-SNAPSHOT
[INFO] ------------------------------------------------------------------------
[INFO] ------------------------------------------------------------------------
[INFO] Reactor Summary:
[INFO] 
[INFO] bookkeeper ........................................ SUCCESS [10.312s]
[INFO] hedwig-protocol ................................... SUCCESS [0.111s]
[INFO] hedwig-client ..................................... FAILURE [0.399s]
[INFO] bookkeeper-server ................................. SKIPPED
[INFO] hedwig-server ..................................... SKIPPED
[INFO] bookkeeper-benchmark .............................. SKIPPED
[INFO] ------------------------------------------------------------------------
[INFO] BUILD FAILURE
[INFO] ------------------------------------------------------------------------
[INFO] Total time: 11.104s
[INFO] Finished at: Wed Jun 29 13:10:10 CEST 2011
[INFO] Final Memory: 8M/81M
[INFO] ------------------------------------------------------------------------
[ERROR] Failed to execute goal on project hedwig-client: Could not resolve dependencies for project org.apache.bookkeeper:hedwig-client:jar:3.4.0-SNAPSHOT: Could not find artifact org.apache.bookkeeper:hedwig-protocol:jar:3.4.0-SNAPSHOT -> [Help 1]
[ERROR] 
[ERROR] To see the full stack trace of the errors, re-run Maven with the -e switch.
[ERROR] Re-run Maven using the -X switch to enable full debug logging.
[ERROR] 
[ERROR] For more information about the errors and possible solutions, please read the following articles:
[ERROR] [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/DependencyResolutionException
[ERROR] 
[ERROR] After correcting the problems, you can resum",2011-06-29 11:11:34,2011-07-30 23:59:12
BOOKKEEPER-28,Create useful startup scripts for bookkeeper and hedwig,Bug,1,Closed,6,Fixed,2011-08-30 08:47:49,2011-06-29 12:33:42,2011-12-07T15:56:16.000+0000,ikelly,Ivan Kelly,ikelly,"hedwig's current startup script is messy. bookkeeper doesn't even have one. They should be created before initial release 

bookkeeper-server/bin/bookkeeper
hedwig-server/bin/hedwig

",2011-06-29 12:33:42,2011-08-30 08:47:49
BOOKKEEPER-29,BookieRecoveryTest fails intermittently,Bug,1,Closed,6,Fixed,2011-08-11 19:38:50,2011-06-29 15:35:13,2011-12-07T15:56:11.000+0000,ikelly,Ivan Kelly,ikelly,"The failure doesn't hit every time. You have to run, multiple times. From bookkeeper-server, run mvn test -Dtest=BookieRecoveryTest multiple times to repro.
Test output is attached.

-------------------------------------------------------
 T E S T S
-------------------------------------------------------
Running org.apache.bookkeeper.test.BookieRecoveryTest
log4j:WARN No appenders could be found for logger (org.apache.bookkeeper.test.BaseTestCase).
log4j:WARN Please initialize the log4j system properly.
Tests run: 8, Failures: 0, Errors: 1, Skipped: 0, Time elapsed: 6.794 sec <<< FAILURE!

Results :

Tests in error: 
  testAsyncBookieRecoveryToSpecificBookie[1](org.apache.bookkeeper.test.BookieRecoveryTest)

Tests run: 8, Failures: 0, Errors: 1, Skipped: 0

",2011-06-29 15:35:13,2011-08-11 19:38:50
BOOKKEEPER-30,Test are too noisy,Improvement,4,Closed,6,Fixed,2011-07-12 10:37:32,2011-06-29 15:38:03,2011-12-07T15:56:15.000+0000,ikelly,Ivan Kelly,ikelly,"Tests for hedwig currently output a lot of log4j. Logs should be disabled by default. Each module should have a log4j.properties in src/test/resources with everything disabled but commented out so logs are easy to enable for the tests.

Also, bookkeeper complains about lack of appenders.",2011-06-29 15:38:03,2011-07-12 10:37:32
BOOKKEEPER-31,Need a project logo,Improvement,4,Resolved,5,Done,2017-10-06 08:42:53,2011-07-01 22:07:08,2017-10-06T08:42:53.000+0000,breed,Benjamin Reed,breed,we need a logo for the project something that looks good in the big and the small and is easily recognizable.,2011-07-01 22:07:08,2017-10-06 08:42:53
BOOKKEEPER-32,Clean up LOG.debug statements,Improvement,4,Closed,6,Fixed,2012-09-14 13:44:00,2011-07-07 13:31:23,2013-02-13T15:46:27.000+0000,stuhood,Stu Hood,stuhood,"There are a couple of LOG.debug statements in the client package that are not in an if block under isDebugEnabled(). They are invoked frequently, so they affect performance.",2011-07-07 13:31:23,2012-09-14 13:44:00
BOOKKEEPER-33,Add length and offset parameter to addEntry,Improvement,4,Closed,6,Fixed,2011-08-11 18:38:28,2011-07-14 08:30:43,2011-12-07T15:56:10.000+0000,ikelly,Ivan Kelly,ikelly,"<from email to dev list>
I'm having an issue with the LedgerHandle#addEntry api.

[1] best illustrates it. I'm buffering namenode transactions in the stream and only transmitting when either flush is called or I have enough data to pass my threshold. This means I have a byte buffer in my class which I fill up as new transactions come in. When I transmit, I set this buffer as an entry to bookkeeper. I.e. N whole namenode transactions will be contained in 1 single bk entry. 

The problem is this byte buffer (DataOutputBuffer in this case). I reuse the same buffer over and over. But this buffer has a fixed size. If I transmit before it is full, the whole buffer size will be transmitted anyhow. If the buffer is being reused, this will retransmit old transactions out of order. For example, in the first use, the buffer fills with, [a,b,c,d,e] and adds this as an entry and resets the byte buffer. Then transaction f is  added and flushed, in this case [f,b,c,d,e] is not transmitted. 

What I need is the ability to set offset and length in the byte[] passed to addEntry. Is there a reason this wasn't added in the initial implementation? If not, and if you agree this is a valid usecase, ill open a JIRA and add this functionality. Im getting around this now by doing an extra Array.copyOf which is less than ideal.
</from email>",2011-07-14 08:30:43,2011-08-11 18:38:28
BOOKKEEPER-34,org.apache.bookkeeper.test.BookieReadWriteTest fails since 1143850,Bug,1,Resolved,5,Invalid,2011-08-01 16:21:07,2011-07-18 20:43:50,2011-11-30T11:41:49.000+0000,,,,"Repro instructions:

Checkout trunk 
mvn clean install -DskipTests
mvn test 

git bisect indicates that the problem came in with BOOKKEEPER-5. I haven't had a look at what it actually is though yet.

",2011-07-18 20:43:50,2011-08-01 16:21:07
BOOKKEEPER-36,Client backpressure,Improvement,4,Open,1,,,2011-07-29 13:52:34,2017-10-17T21:29:54.000+0000,fpj,Flavio Paiva Junqueira,fpj,"The way we currently throttle on the client is by counting the number of outstanding operation on LedgerHandle, and having the application select what an appropriate value is. This is not a good way of doing it because the application has to guess what a good value is. We need to implement some form of backpressure instead to make sure we throttle only when the system is saturated. ",2011-07-29 13:52:34,
BOOKKEEPER-38,Bookie Server doesn't exit when its zookeeper session is expired. So the process is hang there.,Bug,1,Closed,6,Fixed,2011-08-23 22:39:35,2011-08-08 06:53:22,2011-12-07T15:56:06.000+0000,ikelly,Ivan Kelly,ikelly,"Bookie server doesn't process zookeeper watcher events and just ignore them. So when session expires, bookie server hangs there and can't do nothing.",2011-08-08 06:53:22,2011-08-23 22:39:35
BOOKKEEPER-39,"Bookie server failed to restart because of too many ledgers (more than ~50,000 ledgers)",Bug,1,Closed,6,Fixed,2011-11-28 18:29:17,2011-08-08 09:15:25,2016-06-08T08:15:14.000+0000,ikelly,Ivan Kelly,ikelly,"If we have ~500,000 topics in hedwig, we might have more than ~500,000 ledgers in bookkeeper (a topic has more than 1 ledger). So when the bookie server restarted, a logfile GC thread is started, which will call zk.getChildren to fetch all ledgers, and it failed because of package length limitation.

2011-08-01 01:18:46,373 - ERROR [main-EventThread:EntryLogger$GarbageCollectorThread$1@164] - Error polling ZK for the available ledger nodes:
org.apache.zookeeper.KeeperException$ConnectionLossException: KeeperErrorCode = ConnectionLoss for /ledgers
        at org.apache.zookeeper.KeeperException.create(KeeperException.java:99)
        at org.apache.zookeeper.KeeperException.create(KeeperException.java:51)
        at org.apache.zookeeper.ZooKeeper.getChildren(ZooKeeper.java:1519)
        at org.apache.bookkeeper.bookie.EntryLogger$GarbageCollectorThread$1.processResult(EntryLogger.java:162)
        at org.apache.zookeeper.ClientCnxn$EventThread.processEvent(ClientCnxn.java:592)
        at org.apache.zookeeper.ClientCnxn$EventThread.run(ClientCnxn.java:481)
2011-08-01 01:18:46,373 - WARN  [main-EventThread:Bookie$1@242] - ZK client has been disconnected to the ZK server!
2011-08-01 01:18:47,278 - WARN  [main-SendThread(perf13.platform.mobile.sp2.yahoo.com:2181):ClientCnxn$SendThread@980] - Session 0x131833dec850034 for server perf13.platform.mobile.sp2.yahoo.com/98.139.43.86:2181, unexpected error, closing socket connection and attempting reconnect
java.io.IOException: Packet len9976413 is out of range!
        at org.apache.zookeeper.ClientCnxnSocket.readLength(ClientCnxnSocket.java:112)
        at org.apache.zookeeper.ClientCnxnSocketNIO.doIO(ClientCnxnSocketNIO.java:78)
        at org.apache.zookeeper.ClientCnxnSocketNIO.doTransport(ClientCnxnSocketNIO.java:264)
        at org.apache.zookeeper.ClientCnxn$SendThread.run(ClientCnxn.java:958) ",2011-08-08 09:15:25,2011-11-28 18:29:17
BOOKKEEPER-40,BookieClientTest fails intermittantly,Bug,1,Closed,6,Fixed,2012-01-13 17:07:11,2011-08-08 11:29:00,2012-10-22T14:50:19.000+0000,ikelly,Ivan Kelly,ikelly,"To repro:
true; while [ $? = 0 ]; do mvn test -Dtest=BookieClientTest; done

Problem seems to be
{code}
        BookieClient bc = new BookieClient(channelFactory, executor);
        ChannelBuffer bb;
        bb = createByteBuffer(1, 1, 1);
        bc.addEntry(addr, 1, passwd, 1, bb, wrcb, null);
        synchronized (arc) {
            bc.readEntry(addr, 1, 1, recb, arc);

{code}
The test doesn't wait for addEntry to complete before doing a read. It should be simple to fix. ",2011-08-08 11:29:00,2012-01-13 17:07:11
BOOKKEEPER-41,Generation of packages for distribution.,Improvement,4,Closed,6,Fixed,2011-10-06 16:54:46,2011-08-10 14:20:35,2011-12-07T15:56:05.000+0000,ikelly,Ivan Kelly,ikelly,We should configure maven to generate distribution tarballs. ,2011-08-10 14:20:35,2011-10-06 16:54:46
BOOKKEEPER-42,bookkeeper-server readme file is outdated,Bug,1,Resolved,5,Fixed,2017-10-09 09:56:29,2011-08-10 18:40:57,2017-10-09T09:56:29.000+0000,,,,The information in the file is outdated.,2011-08-10 18:40:57,2017-10-09 09:56:29
BOOKKEEPER-43,NullPointException when releasing topic,Bug,1,Closed,6,Fixed,2011-08-23 22:35:08,2011-08-11 05:20:40,2011-12-07T15:56:17.000+0000,ikelly,Ivan Kelly,ikelly,"Got NullPoint Exception when releasing topic.

java.lang.NullPointerException
        at org.apache.hedwig.server.subscriptions.AbstractSubscriptionManager.lostTopic(AbstractSubscriptionManager.java:221)
        at org.apache.hedwig.server.topics.AbstractTopicManager.realReleaseTopic(AbstractTopicManager.java:153)
        at org.apache.hedwig.server.topics.AbstractTopicManager.access$000(AbstractTopicManager.java:38)
        at org.apache.hedwig.server.topics.AbstractTopicManager$1.operationFailed(AbstractTopicManager.java:140)
        at org.apache.hedwig.util.CallbackUtils$1.tick(CallbackUtils.java:75)
        at org.apache.hedwig.util.CallbackUtils$1.operationFailed(CallbackUtils.java:85)
        at org.apache.hedwig.server.common.TopicOpQueuer$AsynchronousOp$1.operationFailed(TopicOpQueuer.java:54)
        at org.apache.hedwig.server.subscriptions.AbstractSubscriptionManager$AcquireOp$1.operationFailed(AbstractSubscriptionManager.java:139)
        at org.apache.hedwig.server.subscriptions.ZkSubscriptionManager$1.safeProcessResult(ZkSubscriptionManager.java:79)
        at org.apache.hedwig.zookeeper.SafeAsyncZKCallback$ChildrenCallback.processResult(SafeAsyncZKCallback.java:66)
        at org.apache.zookeeper.ClientCnxn$EventThread.processEvent(ClientCnxn.java:567)
        at org.apache.zookeeper.ClientCnxn$EventThread.run(ClientCnxn.java:481)",2011-08-11 05:20:40,2011-08-23 22:35:08
BOOKKEEPER-44,Reuse publish channel to default server to avoid too many connect requests to default server when lots of producers came in same time,Improvement,4,Closed,6,Fixed,2011-08-30 08:13:18,2011-08-11 05:28:04,2011-12-07T15:56:08.000+0000,ikelly,Ivan Kelly,ikelly,"Currently when client wants to publish messages to a specific topic (client doesn't know which hub owns this topic), it needs to ask default server which hub owns it. Client needs to connect to default server each time, even the channel to default server has been established. So too many unused connections will be opened and closed, when it publishes to different topics concurrently.

Reuses existed channel to default server to avoid the above issue.",2011-08-11 05:28:04,2011-08-30 08:13:18
BOOKKEEPER-46,Wait in BookieClietTest does not wait enough in some runs,Bug,1,Resolved,5,Won't Do,2017-10-09 09:55:55,2011-08-15 21:07:56,2017-10-09T09:55:55.000+0000,,,,"In testWriteGaps, the following excerpt of code can generate an NPE:

{noformat}
        synchronized (arc) {
            bc.readEntry(addr, 1, 1, recb, arc);
            arc.wait(1000);
            assertEquals(0, arc.rc);
            assertEquals(1, arc.entry.getInt());
        }
{noformat}",2011-08-15 21:07:56,2017-10-09 09:55:55
BOOKKEEPER-48,hedwig - publish messages to new topics slows down when the number of topics increase,Improvement,4,Resolved,5,Won't Do,2017-10-09 09:55:42,2011-08-16 11:14:52,2017-10-09T09:55:42.000+0000,,,,"Now each ledger in bookkeeper has separate index file. Publishing messages to new topics needs to create the index file and write a header. So number of files need to be created and written increase when number of ledgers(topics) increase, which slows down disk i/o. 

index file creation and written will slow down getFileInfo operation. Even worse, it lock the whole fileInfoCache, which might affect other bookkeeper operations.

Need a solution not to lock the whole fileInfoCache while creating/written index files.

Some testing results listed as below (3 bookie servers, 2 quorum.)

* Create {num_ledgers} ledgers, each ledgers publish 2 messages. (make sure index file of a specified ledger are all created in 3 bookie servers)
| *num ledgers* | 5,000 | 50,000 | 500,000 |
| *bookie* | 459.178 | 419.26 | 86.03 |

* After publishing 2 messages, publish messages in round-robin way ledger by ledger, until publishing 10,000,000 messages.
| *num ledgers* | 5,000 | 50,000 | 500,000 |
| *bookie* | 31,048.572 | 30,463.1 | 17,962.899 |",2011-08-16 11:14:52,2017-10-09 09:55:42
BOOKKEEPER-50,NullPointException at LedgerDescriptor#cmpMasterKey,Bug,1,Closed,6,Fixed,2011-11-04 10:47:18,2011-08-18 10:41:02,2013-05-02T02:29:45.000+0000,ikelly,Ivan Kelly,ikelly,"the LedgerDescriptor will be created when it is missed in LedgerCache. NullPointException will be thrown out in the following case:

1. The ledger descriptor is created and cached to LedgerCache because of a readEntry operation in bookie. The ledger descriptor was created without setting master key (we don't know master key in a read request)
2. An addEntry is sent after 1 . since the ledger descriptor has been cached, so addEntry will use it to compare master key. then NullPointException is thrown out.",2011-08-18 10:41:02,2011-11-04 10:47:18
BOOKKEEPER-51,NullPointException at FIFODeliveryManager#deliveryPtrs,Bug,1,Closed,6,Fixed,2011-08-30 09:14:52,2011-08-18 10:52:23,2011-12-07T15:56:08.000+0000,ikelly,Ivan Kelly,ikelly,"when unsubscribe immediately after subscribe, and before startDelivery, the deliveryPtrs is null, so the following MapMethods.removeFromMultiMap will cause a use of NullPointException",2011-08-18 10:52:23,2011-08-30 09:14:52
BOOKKEEPER-52,Message sequence confuse due to the subscribeMsgQueue@SubscribeResponseHandler,Bug,1,Closed,6,Fixed,2011-08-30 10:14:39,2011-08-18 11:07:11,2011-12-07T15:56:13.000+0000,ikelly,Ivan Kelly,ikelly,"In setMessageHandler function, when subscribeMsgQueue is not empty, the main thread will consume the message in subscribeMsgQueue, at the same time, the messageHandler have been set, so the worker thread will consume new coming message in handleSubscribeMessage. So the message Sequence will be confused",2011-08-18 11:07:11,2011-08-30 10:14:39
BOOKKEEPER-53,race condition of  outstandingMsgSet@SubscribeResponseHandler ,Bug,1,Closed,6,Fixed,2011-11-28 23:18:42,2011-08-25 05:48:13,2011-12-07T15:56:11.000+0000,ikelly,Ivan Kelly,ikelly,"outstandingMsgSet is a Set, so it is not thread-safe. The detail is as below:

MessageConsumeRetryTask is In a timer, so in timer thread, when the timer is up, it will cause a outstandingMsgSet add operation:
MessageConsumeRetryTask.run() -> outstandingMsgSet.add(message) -> outstandingMsgSet.add(message)

At the same time, in other thread(maybe main thread), there may be other operations of this outstandingMsgSet:
MessageConsumeCallback.operationFinished() -> messageConsumed(Message message) -> outstandingMsgSet.remove(message);",2011-08-25 05:48:13,2011-11-28 23:18:42
